Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
J801,83.025126mm,3.000000mm,Top,90.0,83.025126mm,3.000000mm
J802,3.025126mm,11.500000mm,Top,90.0,3.025126mm,11.500000mm
J803,10.800126mm,37.590000mm,Top,0.0,10.800126mm,37.590000mm
J804,61.175126mm,89.225000mm,Top,0.0,61.175126mm,89.225000mm
J805,69.575126mm,89.225000mm,Top,0.0,69.575126mm,89.225000mm
J806,10.800126mm,77.990000mm,Top,0.0,10.800126mm,77.990000mm
J807,11.475126mm,89.225000mm,Top,0.0,11.475126mm,89.225000mm
J808,19.875126mm,89.225000mm,Top,0.0,19.875126mm,89.225000mm
J809,10.800126mm,69.590000mm,Top,0.0,10.800126mm,69.590000mm
J810,77.975126mm,89.225000mm,Top,0.0,77.975126mm,89.225000mm
J811,28.275126mm,89.225000mm,Top,0.0,28.275126mm,89.225000mm
J812,86.750126mm,78.390000mm,Top,0.0,86.750126mm,78.390000mm
J813,10.800126mm,61.190000mm,Top,0.0,10.800126mm,61.190000mm
J814,86.375126mm,89.225000mm,Top,0.0,86.375126mm,89.225000mm
J815,36.675126mm,89.225000mm,Top,0.0,36.675126mm,89.225000mm
J816,10.800126mm,52.790000mm,Top,0.0,10.800126mm,52.790000mm
M801,0.000000mm,0.000000mm,Top,0.0,0.000000mm,0.000000mm
P801,83.225126mm,24.000000mm,Top,0.0,83.225126mm,24.000000mm
P802,83.225126mm,19.300000mm,Top,0.0,83.225126mm,19.300000mm
P803,62.525126mm,2.500000mm,Top,0.0,62.525126mm,2.500000mm
P804,62.525126mm,7.500000mm,Top,0.0,62.525126mm,7.500000mm
P805,23.025126mm,11.000000mm,Top,0.0,23.025126mm,11.000000mm
P806,9.300126mm,25.800000mm,Top,0.0,9.300126mm,25.800000mm
P807,9.300126mm,22.500000mm,Top,0.0,9.300126mm,22.500000mm
P808,9.300126mm,34.200000mm,Top,0.0,9.300126mm,34.200000mm
P809,9.300126mm,27.500000mm,Top,0.0,9.300126mm,27.500000mm
P810,14.800126mm,20.000000mm,Top,0.0,14.800126mm,20.000000mm
P811,14.800126mm,22.500000mm,Top,0.0,14.800126mm,22.500000mm
